Time,J1_Vel (rad/s),J1_Torque (Nm),J1_Reaction (N)_x,J1_Reaction (N)_y,J1_Reaction (N)_z,J2_Pos_x,J2_Pos_y,J2_Pos_z,J2_Vel_x,J2_Vel_y,J2_Vel_z,J2_Reaction (N)_x,J2_Reaction (N)_y,J2_Reaction (N)_z,J3_Pos_x,J3_Pos_y,J3_Pos_z,J3_Vel_x,J3_Vel_y,J3_Vel_z,J3_Reaction (N)_x,J3_Reaction (N)_y,J3_Reaction (N)_z,J4_Reaction (N)_x,J4_Reaction (N)_y,J4_Reaction (N)_z
0.002,0.0,20.944,-68.19693961694111,1181.9935174636744,2819.8303726614326,0.49998738516030256,0.4035517151579621,0.1,0.0,0.0,0.0,-10.564803353385857,1182.0983877714334,2810.0203721945386,0.9999747703206051,0.4071034303159242,0.1,0.0,0.0,0.0,-10.564803353385857,1182.0983877714334,2810.0203721945386,-68.19693961694406,1181.993517463684,2819.830372661413
0.004,0.4926163930506273,16.017836069493725,-44.302701339111586,1121.8257692790398,2790.34739177601,0.49957342313313335,0.405699170826538,0.1,-0.20928723486073492,1.0736077781017666,0.0,-19.83201933680302,1122.1416706768555,2780.5373913091153,0.9995409393169506,0.4113985357897888,0.1,-0.2215280081361461,2.1474096929006876,0.0,-19.83201933680302,1122.1416706768555,2780.5373913091153,-45.407939186538464,1121.7815763433127,2790.3473917760043
0.006,0.6208176891691606,14.735823108308393,-31.968915758498966,1053.9762191565908,2684.9132144546766,0.49901699552773415,0.40960366495530764,0.1,-0.28583993574157873,1.9519662379485128,0.0,-30.23883144093805,1054.718952222806,2675.103213987783,0.9989247375850504,0.4192083216985698,0.1,-0.3233534115349995,3.904485467099156,0.0,-30.23883144093805,1054.718952222806,2675.103213987783,-34.31590064111329,1053.9024153522907,2684.9132144546775
0.008,0.45943179096584685,16.34968209034153,-29.710327351798483,979.0206663740458,2491.4262944221523,0.4985192385882284,0.41491181634315777,0.1,-0.26297539939711767,2.653620541943022,0.0,-39.976451114351185,980.4786852161997,2481.6162939552587,0.9982967677997402,0.4298256118103275,0.1,-0.34217899168038624,5.307819182600655,0.0,-39.976451114351185,980.4786852161997,2481.6162939552587,-32.78991166200863,978.9223617999849,2491.426294422155
0.01,0.09570408783330442,19.986959121666956,-33.89969155867857,905.5880145957877,2248.533248761253,0.4982106128771376,0.4213127212312977,0.1,-0.17481223598235876,3.1996617800226614,0.0,-50.615116041953584,908.280323126704,2238.723248294359,0.9977560792454871,0.4426276697611002,0.1,-0.311343049992967,6.3994513109810915,0.0,-50.615116041953584,908.280323126704,2238.723248294359,-36.92157110401718,905.4698442546137,2248.5332487612127
0.012,-0.4275460255849456,25.219460255849455,-41.94565043798709,831.8583004781093,1987.1953706160023,0.49819210284504384,0.4285367193245505,0.1,-0.035370261995959384,3.610559221954165,0.0,-65.11083946299527,836.6977553702928,1977.385370149109,0.9973770238190479,0.4570746707607951,0.1,-0.24175840744143906,7.220693968463165,0.0,-65.11083946299527,836.6977553702928,1977.385370149109,-44.01023123727451,831.7516271167962,1987.1953706160034
0.014,-1.1145909560459968,32.089909560459965,-52.64605782195793,755.85225642255,1756.3301382724917,0.4985751052695908,0.43635925065710585,0.1,0.16085552290175043,3.908695206397268,0.0,-87.13174244362037,764.424616217461,1746.5201378055976,0.997251356921614,0.47271851410245014,0.1,-0.12412532236124241,7.8172776759514395,0.0,-87.13174244362037,764.424616217461,1746.5201378055976,-52.83718544222529,755.8389198617078,1756.3301382723512
0.016,-2.01059407844708,41.049940784470806,-67.98287358918483,679.1846363620774,1602.7573003915156,0.49951377567418187,0.44460181663248627,0.1,0.4352332983975028,4.116801434268964,0.0,-116.46388204545467,693.824340961678,1592.9472999246216,0.9975202260365222,0.48920647331204953,0.1,0.06623467559800889,8.236633487884209,0.0,-116.46388204545467,693.824340961678,1592.9472999246216,-65.42301041808852,679.4359948364321,1602.7573003911002
0.018000000000000002,-3.1347613040479128,52.29161304047913,-95.12095409025818,570.1454613762049,-2055.3342806483033,0.5011833476236138,0.45311838648071384,0.1,0.7981757805294576,4.250656087557319,0.0,-143.6476681100081,592.8297870466328,-2065.144281115197,0.9983516247508332,0.506256924457895,0.1,0.3425102095710939,8.51389846273976,0.0,-143.6476681100081,592.8297870466328,-2065.144281115197,-89.3932264636378,571.0715315061052,-2055.3342806464325
0.020000000000000004,-4.298882375453964,63.93282375453964,-135.4033223700789,501.02177104284476,-1596.3344902202098,0.5036163726382292,0.461758643525698,0.1,1.1784020240539417,4.308227632758356,0.0,-144.14287211509543,530.590602747178,-1606.1444906871038,0.9997789329051344,0.5235867422300069,0.1,0.6375496775695124,8.64849832814974,0.0,-144.14287211509543,530.590602747178,-1606.1444906871038,-126.0435055271114,503.4579520498482,-1596.3344902195965
0.022000000000000006,-5.125360949768202,72.19760949768201,-170.12007895007787,440.4222141992557,-1136.4492198625753,0.5065569194319128,0.4703387745078688,0.1,1.4320361066115748,4.274378923552833,0.0,-131.15785835614548,474.78724919205047,-1146.2592203294696,1.0015609131032484,0.5408444214407822,0.1,0.8147831147267854,8.607970761654503,0.0,-131.15785835614548,474.78724919205047,-1146.2592203294696,-157.3286952147325,445.1519399981586,-1136.4492198626358
0.024000000000000007,-5.5215807209804995,76.159807209805,-192.29497861460396,177.43213380754926,-284.5414673552951,0.5096845390932817,0.478697231092466,0.1,1.5267579779213918,4.161397296894714,0.0,-154.00878078384574,218.20958399102213,-294.3514678221893,1.0034015248329338,0.5577132927011809,0.1,0.8466441158823639,8.410960728548057,0.0,-154.00878078384574,218.20958399102213,-294.3514678221893,-185.05881218850342,184.96690768698141,-284.54146735540155
0.02600000000000001,-5.539062239020658,76.33462239020658,-199.9347049088277,-99.51284101000397,487.31307117712373,0.5127145635854293,0.4867761509509503,0.1,1.479681631068412,4.021239913368313,0.0,-195.6097956539869,-50.744984462203675,477.5030707102295,1.0050349264324736,0.5740725444970447,0.1,0.7466200226424544,8.155444573941622,0.0,-195.6097956539869,-50.744984462203675,477.5030707102295,-204.74838067309906,-89.18964269620247,487.31307117896915
0.02800000000000001,-5.33205747394537,74.26457473945369,-191.22980513213827,-118.8346726075783,393.1698512468794,0.5154822437587725,0.494563800955717,0.1,1.3504213891320083,3.8762947750357704,0.0,-203.82001758712727,-64.08073502548471,383.3598507799852,1.0063114291092152,0.589888041357729,0.1,0.572074495518968,7.884041074413286,0.0,-203.82001758712727,-64.08073502548471,383.3598507799852,-198.19035372613706,-106.82275728764245,393.16985124688006
0.030000000000000013,-5.232240567476371,73.2664056747637,-186.71787870805485,-135.18129413063517,310.33529061343376,0.5180939751734025,0.5020142792289621,0.1,1.2746456836808528,3.7080638494282963,0.0,-211.51302803229197,-74.19131648635525,300.52529014653965,1.007358483146306,0.6050688338979943,0.1,0.46183811173003964,7.566970406681774,0.0,-211.51302803229197,-74.19131648635525,300.52529014653965,-195.9752953626007,-121.37228728013096,310.335290613433
0.032000000000000015,-5.193239504567861,72.87639504567862,-184.8320643494089,-148.09905009057604,239.12854549795298,0.5206191652189381,0.5090918226537794,0.1,1.2337433261416721,3.5218240158802865,0.0,-218.00176365879105,-80.92681593654947,229.31854503105887,1.008266705969193,0.6195448715036347,0.1,0.3972600241123141,7.214877574481115,0.0,-218.00176365879105,-80.92681593654947,229.31854503105887,-196.41073438912875,-132.35952578533255,239.1285454979535
0.034000000000000016,-5.181026472215557,72.75426472215557,-184.38852799780923,-157.4946804840463,179.1866065243564,0.5230992713791552,0.5157712179014813,0.1,1.2136397291896346,3.3229792366119737,0.0,-222.8500740816848,-84.4526770683901,169.37660605746234,1.0090980462311305,0.6332667107613318,0.1,0.3638023836977351,6.838177127863608,0.0,-222.8500740816848,-84.4526770683901,169.37660605746234,-198.2015138100855,-139.71350529337232,179.1866065243562
0.03600000000000002,-5.1716987980069,72.660987980069,-177.73684891871338,110.94409375261775,-467.7225465168966,0.5255552663448767,0.5220374095861045,0.1,1.2040122293237798,3.116686579692405,0.0,-144.06423872478268,177.2618675191475,-477.53254698379084,1.0098925700372097,0.6462041372229436,0.1,0.3503571310483571,6.446540047291263,0.0,-144.06423872478268,177.2618675191475,-477.53254698379084,-165.35847943698238,128.66838260259186,-467.7225465216702
0.03800000000000002,-5.360373047790204,74.54773047790204,-179.83920971555386,70.13059252008063,-327.3800526036519,0.5281806941068758,0.5277937785368524,0.1,1.2914487073028202,2.8614507206033335,0.0,-164.23691173721124,146.80833159733078,-337.19005307054607,1.0108804053670506,0.6581816182664215,0.1,0.45265333119131723,5.96669647584513,0.0,-164.23691173721124,146.80833159733078,-337.19005307054607,-170.698904239836,90.12394492947787,-327.38005260365253
0.04000000000000002,-5.630023859805351,77.24423859805351,-181.75277661327203,24.465086394025008,-277.31695412945953,0.5310454092878407,0.5330667135999703,0.1,1.4133178642163575,2.6190027120868495,0.0,-193.99447848362337,115.72930511630295,-287.1269545963537,1.0121380036588608,0.669264788628075,0.1,0.5922558240646476,5.51924096401984,0.0,-193.99447848362337,115.72930511630295,-287.1269545963537,-177.27469269651434,46.97122085129798,-277.3169541295169
0.04200000000000002,-6.050188026951996,81.44588026951996,-183.34300979187617,-34.812090229412455,-346.52140447090176,0.534267817745557,0.5378822822102514,0.1,1.5938123264614878,2.388772976336693,0.0,-242.1128789568774,79.27181191622554,-356.33140493779587,1.0137843349716371,0.679529413163795,0.1,0.7903274849321305,5.1088016155363745,0.0,-242.1128789568774,79.27181191622554,-356.33140493779587,-186.3823810765216,-9.388764025882711,-346.52140447092734
0.044000000000000025,-6.749176244975111,88.43576244975111,-195.365801480496,-79.24007327119693,584.1600324155321,0.5380575515861263,0.5422642664356225,0.1,1.8783298183275279,2.168757376078516,0.0,-285.1105241245188,59.466373603247476,574.350031948638,1.0160204312512748,0.6890685090929749,0.1,1.087630238333461,4.743104284335668,0.0,-285.1105241245188,59.466373603247476,574.350031948638,-205.05317676819675,-48.98959379267692,584.1600324132223
0.04600000000000003,-7.621854517147533,97.16254517147533,-234.43900975414974,-60.2256706341241,294.97403031064675,0.5425389924233098,0.5462243765729775,0.1,2.224310622881842,1.9531265999730485,0.0,-261.22556645117817,79.4911200176914,285.1640298437526,1.0189622508358083,0.6979507053482357,0.1,1.4418145181507536,4.410177705870924,0.0,-261.22556645117817,79.4911200176914,285.1640298437526,-241.16899023976998,-20.64700570419543,294.97403031059144
0.04800000000000003,-7.9642623170915385,100.58662317091539,-261.62067310801945,-8.343952079643103,142.41022107683023,0.547306649096046,0.5497758239492245,0.1,2.367988699934807,1.747040716426263,0.0,-206.8999526927645,117.99907564249807,132.60022060993612,1.0222224452181532,0.7061567262157898,0.1,1.602877049377233,4.0706211752949795,0.0,-206.8999526927645,117.99907564249807,132.60022060993612,-258.81067504013834,39.14118826761301,142.4102210770458
0.05000000000000003,-7.729741870133451,98.24141870133451,-269.01598218888756,-132.9217432825664,-208.1775990326068,0.5519270346768277,0.5529534926732552,0.1,2.295683056206829,1.5620341169457042,0.0,-237.17254382719742,-2.495476826508579,-217.98759949950087,1.0253904266075684,0.7136781532000014,0.1,1.5595384858972403,3.7305719385090312,0.0,-237.17254382719742,-2.495476826508579,-217.98759949950087,-289.8633717482511,-77.56941553442802,-208.17759903149636
0.05200000000000003,-7.080246655474564,91.74646655474565,-250.80751852772454,-126.38196205292618,-161.83752829452806,0.5560731546501414,0.5558696521027172,0.1,2.060200878568661,1.4354323983049664,0.0,-223.92648557618085,0.23712428269816144,-171.64752876142214,1.0281365650343155,0.7206608429366415,0.1,1.3514697897108112,3.4656745074763213,0.0,-223.92648557618085,0.23712428269816144,-171.64752876142214,-271.7568368309112,-70.88746940073332,-161.83752829452789
0.054000000000000034,-6.4858689373002445,85.80268937300245,-234.14047505696144,-120.84520786964697,-123.82795509739188,0.5597945337946381,0.5585488162162773,0.1,1.849351753580382,1.3204411055337573,0.0,-211.97243829399255,2.0018786786680067,-133.63795556428605,1.0305135661941154,0.7271417951237629,0.1,1.1695010550407654,3.218614238640833,0.0,-211.97243829399255,2.0018786786680067,-133.63795556428605,-255.17198120226647,-65.6702850174078,-123.82795509739212
0.056000000000000036,-5.941998806031603,80.36398806031603,-218.89634561320148,-116.05973131512152,-92.71367630488172,0.5631360759768118,0.5610118546246349,0.1,1.6608211255529957,1.2153399693720308,0.0,-201.13116853411054,3.0734702391719537,-102.52367677177587,1.032568815365738,0.7331539563598255,0.1,1.0109786437351085,2.9874650528704563,0.0,-201.13116853411054,3.0734702391719537,-102.52367677177587,-239.9933797368207,-61.55200271518599,-92.71367630488226
0.05800000000000004,-5.444090961693462,75.38490961693462,-204.95379570380692,-111.81623473694586,-67.29410404328748,0.5661381550586733,0.5632767225051045,0.1,1.492345458270724,1.118758794236417,0.0,-191.23509443366618,3.669653258373792,-77.1041045101816,1.0343445269030194,0.7387269814514905,0.1,0.8733283715758895,2.770667124332476,0.0,-191.23509443366618,3.669653258373792,-77.1041045101816,-226.09217260211108,-58.23451049165625,-67.29410404328765
0.06000000000000004,-4.9878033884492385,70.82203388449238,-192.1938886257309,-107.94859033680004,-46.565782786481975,0.5688368245008593,0.5653590807485566,0.1,1.3417694916395897,1.0296238447681503,0.0,-182.13530121250454,3.956818467818948,-56.37578325337611,1.0358779983439856,0.743887907371135,0.1,0.7541057309949455,2.566984380816336,0.0,-182.13530121250454,3.956818467818948,-56.37578325337611,-213.33776942367786,-55.48319671857326,-46.56578278648196
0.06200000000000004,-4.56908253270949,66.6348253270949,-180.50353971710888,-104.3305431670355,-29.69134098447339,0.5712641019528352,0.5672728004358877,0.1,1.2070823278231653,0.9471016481296377,0.0,-173.70448148031153,4.057681397670599,-39.5013414513675,1.0372019339784047,0.7486617104808849,0.1,0.651029312407329,2.3754477164193895,0.0,-173.70448148031153,4.057681397670599,-39.5013414513675,-201.60538771658523,-53.11927834204837,-29.691340984473232
0.06400000000000004,-4.184207973497418,62.78607973497418,-169.77758619182768,-100.8704163565287,-15.97353042484943,0.5734482953518407,0.5690303590562276,0.1,1.086437250668709,0.870546578924212,0.0,-165.8371238328573,4.059419382089509,-25.78353089174356,1.0383448095631507,0.7530717431908109,0.1,0.5620005627616772,2.1952963860339785,0.0,-165.8371238328573,4.059419382089509,-25.78353089174356,-190.78040558137715,-51.01084703539125,-15.973530424849432
0.06600000000000004,-3.829807774070198,59.24207774070197,-159.91982084376988,-97.50512163648034,-4.833340984109012,0.5754143458321336,0.5706431423124243,0.1,0.9781595160073637,0.7994552809055959,0.0,-158.44800426259903,4.021318898644871,-14.643341451003131,1.0393312561555568,0.757140060024136,0.1,0.48511283465920274,2.0259243071113415,0.0,-158.44800426259903,4.021318898644871,-14.643341451003131,-180.7604160684725,-49.063936111986116,-4.833340984108954
0.06800000000000005,-3.5028536901346885,55.972536901346885,-150.84328512296722,-94.19426827741287,4.208562721590194,0.5771841699470309,0.5721216675719096,0.1,0.8807456065941268,0.733428949310754,0.0,-151.46976509678314,3.981474228723364,-5.601437745303927,1.0401824464909308,0.7608876494578902,0.1,0.4186523349491832,1.8668343766899906,0.0,-151.46976509678314,3.981474228723364,-5.601437745303927,-171.45571919035967,-47.21433256885701,4.208562721590159
0.07000000000000005,-3.2006434441005522,52.95043444100553,-142.47006082655366,-90.91481100081268,11.547647991695417,0.578776989398187,0.573475744785295,0.1,0.7928567250141587,0.6721433246808843,0.0,-144.85012982470687,3.962376388078532,1.7376475248012972,1.0409164718877286,0.7643345898103522,0.1,0.36109317820863474,1.717601721185157,0.0,-144.85012982470687,3.962376388078532,1.7376475248012972,-162.78882469578477,-45.42047605871646,11.547647991695403
0.07200000000000005,-2.920775506508569,50.151755065085695,-134.73074621636087,-87.65644280266059,17.508996944719033,0.5802096408222382,0.5747145891688776,0.1,0.7133086541840717,0.6153256343484917,0.0,-138.54911183920822,3.975404959830044,7.698996477824912,1.0415487013559874,0.7675001467862407,0.1,0.3110883477879406,1.5778455480480624,0.0,-138.54911183920822,3.975404959830044,7.698996477824912,-154.69338911151158,-43.65754580857739,17.508996944719115
0.07400000000000005,-2.6611203251635382,47.555203251635376,-127.56375521930778,-84.41778973474761,22.358807054772758,0.5814968614172745,0.5758468978609502,0.1,0.6410595703180846,0.5627374542172102,0.0,-132.53643121606018,4.024326989792428,12.54880658787864,1.042092117499977,0.7704028283131203,0.1,0.26745799746339627,1.4472086277351504,0.0,-132.53643121606018,4.024326989792428,12.54880658787864,-147.1128848289849,-41.91269481488055,22.358807054772694
0.07600000000000005,-2.4197907266304357,45.14190726630436,-120.91453893583744,-81.20337619139679,26.314187061915412,0.5826515485159508,0.5768809005544316,0.1,0.5751969505331971,0.5141624104197331,0.0,-126.78925068520688,4.107946581263256,16.50418659502129,1.0425576260550586,0.7730604097866447,0.1,0.22917620472958522,1.325343173245116,0.0,-126.78925068520688,4.107946581263256,16.50418659502129,-139.99919964870156,-40.18131566624777,26.314187061915245
0.07800000000000006,-2.1951132683291075,42.895132683291074,-114.73479712823044,-78.0212818492589,29.55148073050808,0.5836849928255626,0.5778243920256847,0.1,0.5149243691367366,0.4693977047626149,0.0,-121.29027222166248,4.222057078671831,19.741480263613962,1.0429543375942278,0.7754899402523827,0.1,0.19535701617766532,1.2119018493626905,0.0,-121.29027222166248,4.222057078671831,19.741480263613962,-133.3112904082118,-38.46419040035909,29.55148073050793
